X,Y,Name,Location,Episode,TikTok,YouTube
-83.1964599,42.4770979,"Oak Park, MI","42.4770979,-83.1964599",S1E001,https://www.tiktok.com/@the_josemonkey/video/7155842676150029610,
-73.9987591,40.756679,"Manhattan, NY","40.756679,-73.9987591",S1E002,https://www.tiktok.com/@the_josemonkey/video/7156381149890088235,
-1.9757603,52.5888074,"Walsall, England","52.5888074,-1.9757603",S1E003,https://www.tiktok.com/@the_josemonkey/video/7159676240851455278,
-78.830236,39.9629186,"Allegheny, PA","39.9629186,-78.830236",S1E004,https://www.tiktok.com/@the_josemonkey/video/7160279305564491050,
-104.9413837,39.740636,"Denver, CO","39.740636,-104.9413837",S1E005,https://www.tiktok.com/@the_josemonkey/video/7160876181640711470,
-59.4911539,13.0776032,Barbados,"13.0776032,-59.4911539",S1E006,https://www.tiktok.com/@the_josemonkey/video/7161581713469082922,
-80.1175153730363,26.2111384107291,"Pompano Beach, FL","26.21113841072911, -80.11751537303626",S1E007,https://www.tiktok.com/@the_josemonkey/video/7161913710892649771,
-89.7545471059251,30.2620371003032,"Slidell, LA","30.262037100303196, -89.75454710592511",S1E008,https://www.tiktok.com/@the_josemonkey/video/7162553496191962414,
-82.9286519087071,42.5098286427946,"Roseville, MI","42.509828642794595, -82.92865190870708",S1E009,https://www.tiktok.com/@the_josemonkey/video/7162662760600341802,
-94.2536773812319,35.2212548397815,"Greenwood, AR","35.221254839781515, -94.25367738123187",S1E010,https://www.tiktok.com/@the_josemonkey/video/7162955013780704558,
-78.1616606,39.1902149,"Winchester, VA","39.1902149,-78.1616606",S1E011,https://www.tiktok.com/@the_josemonkey/video/7163428166587927851,
-83.0717209321489,43.0177757196753,"Imlay City, MI","43.017775719675306, -83.07172093214893",S1E012,https://www.tiktok.com/@the_josemonkey/video/7163466963778325806,
-84.1612442,36.0816367,"Clinton, TN","36.0816367,-84.1612442",S1E013,https://www.tiktok.com/@the_josemonkey/video/7163644941607013678,
-91.7027372388069,42.0313092818773,"Cedar Rapids, IA","42.03130928187728, -91.70273723880692",S1E014,https://www.tiktok.com/@the_josemonkey/video/7164003456968084779,
-87.6522236,34.6447078,"Tuscumbia, AL","34.6447078,-87.6522236",S1E015,https://www.tiktok.com/@the_josemonkey/video/7164395152956476715,
-113.793250462437,42.5411112124724,"Burley, ID","42.541111212472394, -113.79325046243733",S1E016,https://www.tiktok.com/@the_josemonkey/video/7165625896114621738,
-75.9945471620383,40.9970198421432,"Hazleton, PA","40.99701984214324, -75.9945471620383",S1E017,https://www.tiktok.com/@the_josemonkey/video/7166022046298819883,https://youtu.be/Qid9HTVI_ew
-71.4347746037128,41.6663786318589,"Warwick, RI","41.66637863185891, -71.43477460371278",S1E018,https://www.tiktok.com/@the_josemonkey/video/7166623268861005098,
-85.836232387725,34.5131447809034,"Rainsville, AL","34.5131447809034, -85.83623238772502",S1E019,https://www.tiktok.com/@the_josemonkey/video/7166771631128333610,
